,Potential Factory Placement,Destination,Distance,Distance_normalized
320,Horni Pocernice,Tirana,1508979.5,1.3210896199443634
321,Litomerice,Tirana,1567324.6,1.3721699069758413
322,Siria,Tirana,794790.7,0.6958277059418729
323,Dynow,Tirana,1413095.5,1.2371445715730998
324,Perisoru,Tirana,978616.1,0.8567641718263469
325,Jaslo,Tirana,1375787.6,1.2044820473758377
326,Lipany,Tirana,1292566.6,1.1316232714538388
327,Rudnik nad Sanem,Tirana,1481438.6,1.296977962288361
328,Otwock,Tirana,1875528.0,1.6419975040847221
329,Peretu,Tirana,747944.7,0.6548147138263978
330,Opole Lubelskie,Tirana,1589418.3,1.3915126202043275
331,Kyustendil,Tirana,370614.1,0.32446725784877944
332,Fagaras,Tirana,1059955.3,0.9279754591994217
333,Horezu,Tirana,740677.8,0.6484526484973635
334,Cherepkivtsi,Tirana,1346029.4,1.1784291757972454
335,Skalite,Tirana,1413864.8,1.237818082541687
336,Szikszo,Tirana,1158917.1,1.0146150767363133
337,Pirot,Tirana,450376.4,0.39429799219135225
338,Todorovo,Tirana,753453.3,0.6596374130614938
339,Szazhalombatta,Tirana,990637.4,0.8672886452524188
340,Bilokurakyne,Tirana,2314824.6,2.026595292415744
341,Lowicz,Tirana,1784936.9,1.562686312733652
342,Pryluky,Tirana,2021097.7,1.7694416606477603
343,Feldru,Tirana,1146894.1,1.0040891149849502
344,Monastyryska,Tirana,1586807.4,1.3892268152025282
345,Zetea,Tirana,1138393.9,0.9966473134313498
346,Bohuslav,Tirana,1804297.1,1.5796358864422726
347,Mocesti,Tirana,948340.2,0.8302580614222801
348,Ivanic-Grad,Tirana,959675.3,0.8401817767219455
349,Vodice,Tirana,553508.3,0.48458847166780644
350,Medias,Tirana,1018801.8,0.8919461680961427
351,Skadovsk,Tirana,1720631.8,1.5063881323279646
352,Panagyurishte,Tirana,601951.4,0.5269997016201861
353,Jagodina,Tirana,474854.6,0.41572830051225523
354,Chirpan,Tirana,655083.0,0.5735156451774285
355,Porec,Tirana,959369.9,0.8399144034607905
356,Zajecar,Tirana,478881.7,0.41925396803025533
357,Barcea,Tirana,1079598.7,0.9451729703918633
358,Horad Zhodzina,Tirana,2175062.8,1.9042358678876172
359,Ceska Skalice,Tirana,1494040.5,1.3080107425756855
360,Zarnovica,Tirana,1141650.1,0.9994980692040181
361,Girov,Tirana,1244272.3,1.0893423137387215
362,Livada,Tirana,1314901.5,1.151177151776597
363,Tatarusi,Tirana,1253295.9,1.0972423443849493
364,Krasnoyilsk,Tirana,1333352.0,1.1673302963572778
365,Hohenems,Tirana,1745279.1,1.527966485241079
366,Brianka,Tirana,2262141.2,1.980471741444126
367,Campina,Tirana,871192.3,0.7627161962806359
368,Salgotarjan,Tirana,1076207.3,0.9422038489842636
369,Lyman,Tirana,2203469.2,1.9291052582139854
370,Mogosoaia,Tirana,862764.7,0.7553379549718288
371,Grigiskes,Tirana,2347945.8,2.0555924216147163
372,Bled,Tirana,1190082.5,1.041899931461917
373,Curcani,Tirana,877470.2,0.768212406484319
374,Fabijoniskes,Tirana,2365292.3,2.0707790302415168
375,Jaworzyna Slaska,Tirana,1559090.6,1.3649611596531495
376,Pobuzke,Tirana,1671939.5,1.4637587313975895
377,Kietrz,Tirana,1492585.1,1.3067365610292385
378,Cristuru Secuiesc,Tirana,1099550.4,0.9626403937533098
379,Kezmarok,Tirana,1234122.9,1.0804566615554654
380,Dancu,Tirana,1254101.6,1.0979477230244798
381,Sankt Ruprecht,Tirana,1219123.5,1.0673249048646731
382,Novofedorovka,Tirana,1886412.9,1.6515270758278322
383,Belchatow,Tirana,1688253.6,1.4780414888298372
